teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Kamera CCTV di Gedung Utama lantai 15 zona timur tiba-tiba netes dan agak berisik karena overheat, sepertinya ada human error yang menyebabkan kerusakan ini|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
Kamera CCTV di Gedung Utama lantai 15 zona timur mengalami kerusakan karena overheat yang disebabkan oleh human error, perlu perbaikan segera|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
DVR CCTV di Gedung B Lantai 10 Zona Timur netes karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV mengalami kerusakan karena getaran berlebihan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV rusak di Gedung B Lantai 10 Zona Timur karena getaran berlebihan|DVR CCTV mengalami kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV Honeywell di Gedung B Lantai 10 Zona Timur mengalami gangguan karena getaran berlebihan dan tegangan tidak stabil|DVR CCTV memerlukan perbaikan karena kerusakan|DVR CCTV|Gedung B|Lantai 10|Zona Timur|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Saya ingin melaporkan bahwa detektor panas di gedung utama lantai 15 zona selatan mengalami kerusakan karena getaran berlebihan dan overload, sehingga menyebabkan suara agak berisik dan mengganggu rutinitas|Detektor panas mengalami kerusakan karena getaran berlebihan dan overload|Rate Of Rise Heat Detector|Gedung Utama|15|Selatan|Security Sistem|Ringan|Overload|Getaran berlebihan|322000
AC split di Gedung Utama Lantai 6 Zona Tengah saya mengalami aliran lemah dan kurang perawatan sehingga tidak bisa digunakan lagi|Aliran lemah karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Saya laporan bahwa AC split di Gedung Utama Lantai 6 Zona Tengah mengalami kerusakan parah karena kurang perawatan sehingga aliran udara sangat lemah|Kerusakan karena kurang perawatan|Mitsubishi|Gedung Utama|Lantai 6|Zona Tengah|Mechanical|Berat|Kurang perawatan|Aliran lemah|8985000
Lampu TL di gedung parkir lantai 2 zona timur mati total karena faktor lingkungan, sangat mengganggu rutinitas|Lampu TL mati|Lampu TL|Gedung Parkir|Lantai 2|Zona Timur|Electrical|Sedang|Faktor lingkungan|Lampu mati|1714000
Pemipaan air bersih di Gedung Parkir Lantai 2 Zona Timur mengalami masalah sensor error yang disebabkan oleh faktor lingkungan sehingga mengeluarkan suara agak berisik|Tidak ada laporan teknisi|Pemipaan Air Bersih|Gedung Parkir|Lantai 2|Zona Timur|Plumbing|Sedang|Faktor lingkungan|Sensor error|1483000
Lantai granit di gedung parkir lantai 1 zona utara mengalami performa menurun akibat faktor lingkungan, terkadang netes dan agak berisik|Lantai granit mengalami kerusakan|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Lantai granit di gedung parkir zona utara mengalami penurunan performa karena faktor lingkungan, perlu perbaikan segera agar tidak mengganggu rutinitas|Laporan kerusakan lantai granit|Lantai Granit|Gedung Parkir|Lantai 1|Zona Utara|Civil|Ringan|Faktor lingkungan|Performa menurun|480000
Pompa air tanah di gedung A lantai 8 zona barat mati total karena aus dan abrasi parah akibat usia pakai yang sudah lama sekali|Pompa air tanah aus dan abrasi parah|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Pompa air tanah di gedung A lantai 8 zona barat mengalami kerusakan berat karena aus dan abrasi yang disebabkan oleh usia pakai yang sudah lama|Pompa air tanah aus dan abrasi|Pompa Air Tanah|Gedung A|Lantai 8|Zona Barat|Mechanical|Berat|Usia pakai|Aus/abrasi|2996000
Speaker di Gedung E Lantai 1 Zona Barat mengalami masalah overheat karena debu/kotoran, sehingga suaranya menjadi agak berisik|Speaker memiliki masalah overheat karena debu/kotoran|Speaker|Gedung E|Lantai 1|Zona Barat|Sistem Telekomunikasi Gedung|Ringan|Debu/kotoran|Overheat|150000
Plafon gypsum di gedung E lantai 4 zona tengah ini membuat saya agak terganggu karena bunyi abnormal yang terdengar seperti netes-netes kecil, sepertinya aus normal karena sudah lama terpasang, tapi saya tidak terlalu khawatir karena hanya sedikit mengganggu rutinitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon gedung E lantai 4 zona tengah bunyi abnormal|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Plafon di gedung E lantai 4 zona tengah mengalami kerusakan berupa bunyi abnormal yang cukup mengganggu, kemungkinan besar disebabkan oleh aus normal, perlu segera diperbaiki agar tidak mengganggu aktivitas|Tidak ada laporan teknisi|Plafon Gypsum / GRC|Gedung E|Lantai 4|Zona Tengah|Arsitektur|Ringan|Aus normal|Bunyi abnormal|279000
Saya ingin melaporkan kerusakan pada kitchen sink di Gedung B Lantai 10 Zona Barat, yaitu tekanan air yang tidak stabil dan bocor, kemungkinan karena usia pakai yang sudah lama, sehingga perlu perbaikan segera|Kerusakan kitchen sink|Kitchen sink|Gedung B|Lantai 10|Zona Barat|Plumbing|Sedang|Usia pakai|Tekanan tidak stabil|Rp 1829000
Exhaust Fan di Gedung Servis Lantai 1 Zona Tengah bocor parah karena kurang perawatan, suaranya sangat berisik dan mengganggu rutinitas|Exhaust Fan bocor, perlu perbaikan segera|Exhaust Fan|Gedung Servis|Lantai 1|Zona Tengah|Ventilasi Sistem|Fatal|Kurang perawatan|Kebocoran|47574000
Exhaust Fan di Gedung Utama Lantai 19 Zona Tengah mengalami tekanan tidak stabil karena overload, suaranya agak berisik dan mengganggu rutinitas, tolong diperbaiki secepatnya|Tekanan tidak stabil karena overload|Exhaust Fan|Gedung Utama|Lantai 19|Zona Tengah|Ventilasi Sistem|Ringan|Overload|Tekanan tidak stabil|Rp 265000
Saya melaporkan kerusakan Exhaust Fan di Gedung Utama Lantai 19 Zona Tengah, tekanan tidak stabil karena overload, mengeluarkan suara netes yang mengganggu, mohon diperbaiki|Kerusakan tekanan tidak stabil|Exhaust Fan|Gedung Utama|Lantai 19|Zona Tengah|Ventilasi Sistem|Ringan|Overload|Tekanan tidak stabil|Rp 265000
Kerusakan pada AC Split di Gedung Utama Lantai 1 Zona Utara disebabkan oleh sensor error yang terkait dengan usia pakai|Diperlukan perbaikan segera untuk mengatasi kerusakan|AC Split|Gedung Utama|Lantai 1|Zona Utara|Mechanical|Sedang|Usia pakai|Sensor error|1989000
Pintu kayu di lantai 3 zona selatan gedung parkir rusak parah, aus normal sehingga tampilan rusak dan mengganggu rutinitas sehari-hari|Pintu kayu/HPL rusak|Pintu Kayu/HPL|Gedung Parkir|Lantai 3|Zona Selatan|Arsitektur|Sedang|Aus normal|Tampilan rusak|1032000
Pintu kayu di gedung parkir lantai 3 zona selatan mengalami kerusakan pada tampilan karena aus normal, perlu perbaikan segera|Pintu kayu/HPL rusak|Pintu Kayu/HPL|Gedung Parkir|Lantai 3|Zona Selatan|Arsitektur|Sedang|Aus normal|Tampilan rusak|1032000
